"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 20 08:00:13 GMT 2022","Tue Dec 20 08:00:22 GMT 2022","8879","","qa.guru.allure.StepTest","","qa.guru.allure.StepTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Tue Dec 20 08:00:22 GMT 2022","Tue Dec 20 08:00:26 GMT 2022","3968","","qa.guru.allure.StepTest","","qa.guru.allure.StepTest","testLambdaStep","testLambdaStep()",""
